company,industry,round_type,amount,investors,date
"InstaDeep","tech","Series B",5000000,"AfricInvest, Endeavor Catalyst",2023-06-15
"Expensya","fintech","Series C",8000000,"Partech Africa, Sawari Ventures",2023-08-20
"Kaoun","ecommerce","Seed",500000,"Flat6Labs, Angel Investors",2022-03-10
"Dabchy","ecommerce","Series A",1500000,"Algebra Ventures, Wamda Capital",2023-02-14
"Roboost","tech","Seed",600000,"Flat6Labs Tunis",2022-05-20
"Cure Bionics","healthtech","Series A",2000000,"AfricInvest, BIAT Capital",2023-04-12
"Enda Tamweel","fintech","Series B",3000000,"Proparco, AfDB",2022-11-08
"Gomycode","edtech","Series B",4000000,"Partech Africa, AfricInvest",2023-07-25
"Talan","tech","Series C",10000000,"International VCs",2023-09-30
"Wevioo","tech","Series C",7000000,"European VCs",2022-12-15
"Instadeep AI","tech","Seed",400000,"Y Combinator",2021-01-20
"Yassir Tunisia","tech","Series A",1200000,"DN Capital",2022-06-18
