name,sector,confidence,has_startup_act_label,year_founded,label_date,website
Nqollek Haja,logistics,high,True,,,https://nqollek.tn/
KICK LIGHT,cleantech,high,True,,,http://red-up.com/
El Fallega,food,high,True,,,https://elfallega.com/
TAWA Digital Talents,edtech,high,True,,,https://www.tawa.digital/
Smart Ecowico Technology,cleantech,medium,True,,,https://ecowico.tn/
myCarCare,healthtech,medium,True,,,https://www.mycarcare.app/
My Enlightened Mind,other,low,True,,,http://www.lisatoys.com/
SESAMm,fintech,high,True,,,http://www.sesamm.com/
Lakadimia,edtech,medium,True,,,https://lakadimia.online/
ARTY COLLECTION,artisanat,high,True,,,https://artycollection.com/
Deliv's,logistics,high,True,,,https://delivs.tn/
TELA,ecommerce,high,True,,,https://tela.tn/
Bionics,healthtech,high,True,,,http://www.neo-bionics.com/
SOFI,tech,medium,True,,,http://www.sofisoft.tn/
Pivlo,fintech,high,True,,,http://www.pivlo.io/
BIESSA AUTO,marketplace,high,True,,,http://www.biessaauto.tn/
cercina.ai,tech,high,True,,,https://startup.gov.tn/en/www.cercina.ai
CargoWeen,logistics,high,True,,,https://startup.gov.tn/en/null
Laevitas,healthtech,medium,True,,,http://www.laevitas.ch/
BIONESSANCE,cleantech,medium,True,,,https://bionessance.com/
RAIS / SMART QUALITY GATE,tech,medium,True,,,https://www.smartqualitygate.com/
AUZY,tech,medium,True,,,https://auzyhelp.com/
Taw Taw Group,logistics,medium,True,,,https://tawtawdelivery.com/
EMNA HUSSEIN,ecommerce,high,True,,,https://emnahussein.com/
Above Creation,tech,high,True,,,https://www.abovecreation.tn/
Relead,saas,medium,True,,,https://relead.tn/
CAMPUSNA,edtech,high,True,,,http://www.campusna.com/
Minwin,tech,low,True,,,http://www.minwin.io/
Skills21,edtech,high,True,,,http://www.getskills21.com/
Festin/Vetcare,agritech,medium,True,,,https://www.instagram.com/festinpetfood/
Cooptatio,logistics,medium,True,,,https://www.cooptatio.fr/
I POMM,other,low,True,,,https://startup.gov.tn/en/null
Wildkard,fintech,low,True,,,https://startup.gov.tn/en/www.wildkard.tn
JoodLab,healthtech,medium,True,,,http://joodlab.com/
Apprentus Tunisie,edtech,high,True,,,https://www.apprentus.com/
Jemolio,marketplace,medium,True,,,https://startup.gov.tn/en/www.jemolio.com
Agritable,agritech,medium,True,,,https://www.agritable.tn/
Enova Robotics,tech,high,True,,,https://www.enovarobotics.eu/
Inspiring Technologies,tech,medium,True,,,http://inspiretech.io/
Rayhane,food,high,True,,,http://www.rayhane.tn/
auto-plus,marketplace,high,True,,,https://www.auto-plus.tn/
Pixii Motors,cleantech,high,True,,,https://startup.gov.tn/en/www.pixiimotors.com
Odacel,tech,high,True,,,http://atseeone.com/
Xtendplex,saas,medium,True,,,https://www.xtendplex.com/
byessa.com,fintech,medium,True,,,https://www.byessa.com/
Digihunt,tech,medium,True,,,https://startup.gov.tn/en/www.digihunt.net
almourabi e-learning,edtech,high,True,,,http://almourabi.com/
Bartita,edtech,medium,True,,,https://sites.google.com/view/kidzoolink
Actifs Précieux Apex S.A,fintech,high,True,,,https://www.actifsprecieux.com/
Fluoink Nanotechnologies,cleantech,medium,True,,,https://barkallaholfaa.wixsite.com/website
Handmade Tunisia,artisanat,medium,True,,,https://www.handmadetunisia.com/
OTO TRAVEL,travel,high,True,,,http://www.oto.tn/
DeVolution studio,tech,medium,True,,,http://www.devolution-studio.com/
TIRA ROBOTS,tech,high,True,,,http://www.tirarobots.com/
Kabylis,ecommerce,high,True,,,https://kabylis.tn/
Industry X.0,tech,high,True,,,https://www.industryx0.pro/
MOOVOBRAIN,edtech,high,True,,,https://www.gewinner.tn/
Tunisia Baits,retail,high,True,,,https://www.tunisiabaits.com/
IJA SOLUTION,tech,low,True,,,http://www.ijasolution.com/
NEXTPROTEIN TUNISIA,agritech,high,True,,,https://www.nextprotein.co/
Drest.tn,ecommerce,high,True,,,https://www.drest.tn/
JPARTNERS TUNISIE,other,low,True,,,https://startup.gov.tn/en/null
7keema,healthtech,medium,True,,,https://7keema.com/
Tadreex,edtech,medium,True,,,https://startup.gov.tn/en/null
Gelivro,logistics,medium,True,,,https://gelivro.com/
Shotime,marketplace,medium,True,,,http://www.shoti.me/
ProvenMed,healthtech,medium,True,,,http://www.provenmed.com/
Farm Trust,agritech,medium,True,,,http://www.farm-trust.com/
GoMyCode,edtech,medium,True,,,https://www.gomycode.tn/
WeRebase,tech,high,True,,,https://www.werebase.com/
Arkan,fintech,high,True,,,https://arkan.tn/
Rivezli.tn,marketplace,medium,True,,,https://rivezli.tn/
WorkPoint / X-Point,saas,medium,True,,,http://www.workpoint.tn/
Bridges S.A,fintech,medium,True,,,http://bridges.tn/
kids protect,healthtech,medium,True,,,https://startup.gov.tn/en/null
khalta,ecommerce,medium,True,,,http://www.khaltastore.com/
FeedIn Green,cleantech,high,True,,,https://startup.gov.tn/en/www.feedin.com
Kyto-Prod,tech,medium,True,,,https://startup.gov.tn/en/null
Vivia Clinical Network,healthtech,high,True,,,https://www.vivianet.com/
Digital Health Services & Solutions,healthtech,high,True,,,http://www.dh-ss.com/
REBOOTKAMP,edtech,medium,True,,,http://rbk.org/
Power solution,cleantech,medium,True,,,https://www.facebook.com/bluepsol
Think-it,tech,medium,True,,,https://think-it.io/
INSTAWARE,tech,medium,True,,,http://www.instaware.tn/
iFarming Solutions,agritech,medium,True,,,https://ifarming-solutions.com/
Access Aligner,healthtech,high,True,,,http://www.accessaligner.com/
CrocoCoder,edtech,medium,True,,,http://www.crococoder.tn/
Myflix,tech,medium,True,,,https://myflix.solutions-mtech.com/
NACHD-IT,tech,medium,True,,,http://www.nachd-it.com/
Expy.ai,saas,high,True,,,https://expy.ai/
Chosa,tech,medium,True,,,https://www2.chosa.net/
Relead,saas,high,True,,,https://relead.tn/
Tsiwrat Stock,ecommerce,high,True,,,http://www.tsiwratstock.com/
Wheelz,logistics,high,True,,,http://profit.gtt-launchpad.com/
HUBS TRAVEL,travel,medium,True,,,https://startup.gov.tn/en/hub-travel.com
GrowApp,agritech,medium,True,,,http://growapp.digital/
Dataperformers,tech,high,True,,,http://www.dataperformers.com/
Fidness,fintech,medium,True,,,https://fidness.net/#/
IDEAL CONCEPTION,tech,high,True,,,https://www.idealconception.com/
Salaire.tn,fintech,high,True,,,http://salaire.tn/
Koofin.co,fintech,high,True,,,https://koofin.co/
DIGITIN,tech,medium,True,,,http://www.digitin.net/
Vizmerald,tech,low,True,,,https://www.vizmerald.com/
La relation client à l’ère du digital,saas,medium,True,,,http://www.gomybiz.co/
MCOM,ecommerce,medium,True,,,http://www.mcom.tn/
InstaDeep,tech,high,True,,,https://www.instadeep.com/
Eventizer,tech,medium,True,,,https://www.eventizer.io/
Avidea,tech,low,True,,,http://www.avidea.tn/
Seabex,logistics,high,True,,,https://www.seabex.com/
TAOO,tech,high,True,,,https://www.taoo.ai/
HISTORIAR,tech,medium,True,,,http://histori-ar.com/
MicroAcess,tech,medium,True,,,http://microacess.com/
Elevage des abeilles pour la collecte de leurs venins pour des fins cosmétiques et thérapeutiques,healthtech,medium,True,,,https://startup.gov.tn/en/null
KNSD,tech,low,True,,,https://www.knsd.digital/
Gloristory,other,low,True,,,https://startup.gov.tn/en/null
Domoticaza,tech,medium,True,,,https://iotics.tn/
NeuroData,tech,high,True,,,https://neurodata-tunisia.com/
Insight+,tech,medium,True,,,https://startup.gov.tn/en/null
Coinsence,fintech,high,True,,,http://coinsence.com/
Digital2Value,saas,medium,True,,,http://digital2value.com/
Expensya,fintech,high,True,,,https://www.expensya.com/
Eva Dam Technology,cleantech,medium,True,,,http://www.evadam.io/
MEDILSYS,healthtech,medium,True,,,http://medilsys.com/
CUIDA,healthtech,high,True,,,https://www.cuida.tn/
Dlilek,ecommerce,high,True,,,http://www.dlilek.tn/
WanToTrip,travel,medium,True,,,http://www.wantotrip.net/
VDOC,healthtech,high,True,,,http://www.vdocapp.com/
Mouqawel,logistics,high,True,,,https://mouqawel.tn/
Dracoss,tech,high,True,,,http://dracoss.tn/
COGNITION,healthtech,medium,True,,,https://www.e-health.tn/
eDream Commerce,ecommerce,high,True,,,http://www.edream.tn/
Papritech,cleantech,medium,True,,,http://www.papritech.com/
AVOPRO,agritech,medium,True,,,http://www.avopro.tn/
Relead,saas,high,True,,,https://relead.tn/
INNOFAB,tech,medium,True,,,http://innofab.tn/
ODIX,tech,high,True,,,http://odix.io/
iwassel,logistics,high,True,,,http://www.iwassel.tn/
Xgenbox,tech,low,True,,,http://www.xgenbox.com/
DABCHY,ecommerce,high,True,,,https://www.dabchy.com/
Creometry,tech,medium,True,,,https://www.creometry.com/
Makrem Manufacturing,other,medium,True,,,https://startup.gov.tn/en/null
d-talk,tech,low,True,,,https://d-talk.co/
BeNeutron,tech,medium,True,,,https://beneutron.com/
AbrarCom Analytics,tech,medium,True,,,https://startup.gov.tn/en/null
Oleomar,agritech,medium,True,,,https://startup.gov.tn/en/null
FlowsMaster,tech,medium,True,,,http://www.techinnovlabs.com/
moudda.com,fintech,medium,True,,,https://www.moudda.com/
Swanina,ecommerce,high,True,,,http://www.swanina.tn/
Smart For Green: Farm and Forest Fire Protection,agritech,medium,True,,,https://www.smartforgreen.com/
Z healthcare,healthtech,medium,True,,,http://zcare.tn/
WaterSec,cleantech,medium,True,,,http://www.water-sec.com/
FelCloud,saas,high,True,,,https://felcloud.tn/
VME Internationale,tech,low,True,,,http://www.syndic.digital/
Prefabulous,cleantech,high,True,,,https://www.prefa-bulous.com/
Smarketyrs,ecommerce,medium,True,,,https://www.smarketyrs.com/
Hello Dati,tech,medium,True,,,https://hellodati.com/
PROTABAR,food,high,True,,,https://protabar.com/
KAPTY,fintech,high,True,,,https://www.kapty.net/
Ijeni,marketplace,medium,True,,,https://ijeni.tn/
QualiFour,tech,medium,True,,,https://startup.gov.tn/en/null
RGPD Tunisie,tech,medium,True,,,https://rgpd-tunisie.tn/
Medquick,healthtech,medium,True,,,http://www.medquick.tn/
Bon'Heure,food,medium,True,,,http://www.b-heure.com/
ROAMSMART,travel,high,True,,,https://roam-smart.com/
Hanoutify,ecommerce,high,True,,,http://www.dokken.io/
Vitah,saas,medium,True,,,https://vitah.tech/
Ostool,saas,medium,True,,,https://ostool.tn/
WeCode Land,edtech,medium,True,,,https://www.wecode.land/
NetConf,tech,medium,True,,,https://startup.gov.tn/en/null
Data For Brands,tech,high,True,,,http://www.dataforbrands.com/
Klink,logistics,medium,True,,,http://www.klink.tn/
MedCREtech,healthtech,medium,True,,,https://www.medcretech.com/
GENI,tech,medium,True,,,http://www.flahtik.com/
seekmake,marketplace,medium,True,,,http://www.seekmake.com/
Keto Life Style,healthtech,medium,True,,,https://startup.gov.tn/en/null
Asklepios,healthtech,high,True,,,https://www.asklepios.io/
LA FIBRE ARTISANALE,artisanat,high,True,,,https://www.lalistetunisienne.tn/
Smart House Tunisia,tech,medium,True,,,http://www.domhome.tn/
AZÄ,artisanat,high,True,,,http://www.maison-aza.com/
xscan,tech,medium,True,,,https://xscan.me/
UCOD,tech,medium,True,,,https://ucod.io/
NG Technologies,tech,medium,True,,,https://www.ng-sign.com/
QUERMES,ecommerce,high,True,,,http://www.quermes.net/
Galactech,tech,medium,True,,,https://www.galactechstudio.com/
TUNISIE MATÉRIEL ROULANT,logistics,high,True,,,https://www.tmr.tn/
Paypos Tunisie,fintech,medium,True,,,http://paypos.tn/
FranchiseLab,marketplace,high,True,,,https://startup.gov.tn/en/www.franchiselab.net
Line Analyzer,tech,medium,True,,,https://lineanalyzer.tn/
JuniorsCV,edtech,medium,True,,,http://www.juniorscv.com/
Grün Skincare,healthtech,high,True,,,https://startup.gov.tn/en/www.grun.tn
ALGAEPOOL,cleantech,high,True,,,http://www.algaepool.com/
HERUNDO,fintech,medium,True,,,https://www.herundo.com/
kiddo,edtech,medium,True,,,https://startup.gov.tn/en/null
Vynd,saas,high,True,,,https://www.vynd.com/
K2LIS,tech,medium,True,,,https://startup.gov.tn/en/null
Ste Tildah,ecommerce,high,True,,,http://www.majenna.com/
GARANTY,fintech,high,True,,,http://beta.garanty.tn/
TakiAcademy,edtech,medium,True,,,https://www.takiacademy.com/
TransFacile,logistics,low,True,,,https://startup.gov.tn/en/null
Fidelicia,fintech,medium,True,,,https://fidelicia.com/
EZZAYRA SOLUTIONS,tech,low,True,,,http://www.ezzayra.com/
Reevalo,tech,low,True,,,http://www.reevalo.com/
DentaMeet,healthtech,high,True,,,https://app.dentameet.tn/%20et%20https://dentameet.tn/
COLLARY,tech,medium,True,,,http://dev.collary.s-man.cloud/auth/login
Doqtoor,healthtech,high,True,,,https://www.doqtoor.com/
Black Dune Studio,tech,high,True,,,http://www.blackdunestudio.com/
Société Saghroun.com,ecommerce,high,True,,,https://www.saghroun.com/
SEA DESIGN LAB/OUTA,tech,high,True,,,https://www.seadesignlab.com/
Novel-Ti,tech,medium,True,,,https://www.novelti.com.tn/
Ste Magicube Industrie,cleantech,high,True,,,https://magicube.tn/
Xchange,fintech,high,True,,,https://xchange.com.tn/
KOOL,food,high,True,,,http://www.kool.com.tn/
SPOFUN,tech,medium,True,,,https://startup.gov.tn/en/www.spofun.tn
Finansya Ecosystem,fintech,high,True,,,https://finansya.com/
ORcompost,agritech,high,True,,,https://orcompost.odoo.com/
Be Smart Travel,travel,medium,True,,,https://besmart.travel/
DEEP FLOWS,tech,medium,True,,,https://deepflows.co/
GoFields,agritech,high,True,,,http://www.gofields.tn/
Unify,tech,low,True,,,https://unify.tn/
Womia,healthtech,medium,True,,,https://startup.gov.tn/en/www.womia.io
Smart Factory,tech,high,True,,,http://www.sfr-tunisie.com/
Fluoink Nanotechnologies,cleantech,medium,True,,,https://barkallaholfaa.wixsite.com/website
Alfikr,tech,high,True,,,http://www.justpublish.net/
Educanet Tunisia,edtech,medium,True,,,https://www.educanet.tn/
Guepard,tech,medium,True,,,https://guepard.run/
Dentic,healthtech,high,True,,,http://dentic.tn/
Time and Money Tracker,fintech,high,True,,,http://www.tmt-software.com/
El Food Lab,agritech,medium,True,,,http://www.elfoodlab.tn/
Liberrex,fintech,medium,True,,,https://www.liberrex.com/
She Shares,ecommerce,medium,True,,,http://www.sheshares.store/
Datavora,tech,medium,True,,,https://datavora.com/
ECG Lab,healthtech,high,True,,,https://ecglab.net/
lexi,edtech,medium,True,,,http://www.lexi.tn/
Tap4glam,ecommerce,high,True,,,http://www.tap4glam.com/
FOUTA TUNISIA,artisanat,medium,True,,,https://www.foutatunisia.com/
Lavocato,food,high,True,,,https://www.lavocato.tn/
FI THNITI,fintech,high,True,,,http://www.fithniti.city/
CYNOIA,tech,medium,True,,,http://cynoia.com/
Scientiworld,edtech,medium,True,,,https://startup.gov.tn/en/scientiworld.com
BADDAL,marketplace,high,True,,,https://baddal.tn/
Cognira Tunisia,saas,high,True,,,http://www.cognira.com/
ELBIO,agritech,medium,True,,,http://www.elbio.tn/
SQOIN,fintech,high,True,,,http://sqoin.us/coin/
MAZED,marketplace,medium,True,,,http://auctionit4her.com/
SIMARL,tech,medium,True,,,https://soft-justice.com.tn/
faavly,marketplace,medium,True,,,http://www.faavly.com/
ZAYOLI,fintech,low,True,,,https://startup.gov.tn/en/www.zayoli.com
MK Talent,other,low,True,,,https://startup.gov.tn/en/null
IHSCEN for Startups,other,high,True,,,https://startup.gov.tn/en/www.facebook.com/ihscenforstartups
FARKITO,fintech,low,True,,,https://www.farkito.com/
Grabingo,ecommerce,medium,True,,,http://www.grabingo.app/
anavid,tech,medium,True,,,https://www.anavid.co/
WAMIA,fintech,high,True,,,https://www.wamia.tn/
SMARTBAT,cleantech,high,True,,,https://smartbat.tn/
Jeeby - دجيبي,fintech,high,True,,,https://www.jeeby.app/
ADIOM,agritech,high,True,,,http://www.guidephytosanitaire.tn/
VENARI SECURITY TUNISIA,tech,high,True,,,https://venarisecurity.com/
Freelancy,marketplace,high,True,,,https://freelancy.co/
9arini.tn,marketplace,medium,True,,,https://www.9arini.tn/
WONDER WORK,tech,high,True,,,https://www.wonderwork.tn/
iSporit,healthtech,medium,True,,,https://www.isporit.com/
Revampr,fintech,medium,True,,,https://revampr.com/
Gark,tech,medium,True,,,http://www.gark.tn/
SHYK,fintech,medium,True,,,https://shyk.fr/
wammya,food,high,True,,,http://www.wammya.com/
Rouet,logistics,medium,True,,,http://www.rouet.tn/
KB2I,tech,low,True,,,http://www.kb2i.com/
STARK,saas,high,True,,,https://stark-erp.com/
NATDYES,artisanat,medium,True,,,https://startup.gov.tn/en/null
SEA DESIGN LAB/OUTA,tech,high,True,,,https://www.seadesignlab.com/
Shopy Science,ecommerce,medium,True,,,http://shopy-science.io/
Kiwi Stock Light,fintech,medium,True,,,http://stock.kiwisoftwares.net/
Optypro.net,saas,medium,True,,,https://optypro.net/
GETPAY,fintech,high,True,,,http://www.astontechnologies.tn/
South fruits Agri,agritech,high,True,,,https://startup.gov.tn/en/www.south-fruits.com
SWIPACE,fintech,medium,True,,,http://www.swipace.com/
Tunarco,fintech,low,True,,,https://tunarco.com/
Vsober,healthtech,medium,True,,,http://vsober.fr/
AROM R SARL,cleantech,medium,True,,,http://www.arom-air.com/
PSYNARIOS,healthtech,high,True,,,https://www.psynarios.com/
Ailine Pro,tech,high,True,,,https://startup.gov.tn/en/www.ailine.pro
ECHO,logistics,high,True,,,http://www.echo.aero/
Armani Arabic Academy,edtech,medium,True,,,https://www.armaniarabicacademy.com/
Save Your Wardrobe,ecommerce,high,True,,,https://www.saveyourwardrobe.com/
Lisssen,tech,low,True,,,https://lisssen.com/
Kindeal,marketplace,medium,True,,,https://kindeal.app/
IsOne Hr,saas,high,True,,,https://isonehr.com/
DaryDar,marketplace,medium,True,,,http://www.darydar.tn/
Tadeco It,cleantech,medium,True,,,https://www.tadeco-group.tn/
DATASCAI,tech,high,True,,,https://www.datascai.com/
RGPD Tunisie,tech,medium,True,,,https://rgpd-tunisie.tn/
